date,watch_minutes,num_sessions
2025-03-11,43.416666666666664,1
2025-03-27,54.36666666666667,1
2025-03-29,98.45,2
2025-04-05,48.266666666666666,2
2025-04-12,60.46666666666667,2
2025-04-15,33.2,1
2025-04-17,14.983333333333333,1
2025-04-18,51.05,1
2025-04-21,1.9,1
2025-04-23,47.15,1
2025-04-24,92.48333333333333,1
2025-04-27,76.01666666666667,3
2025-04-28,35.800000000000004,4
2025-04-29,113.11666666666667,5
2025-05-01,89.80000000000001,2
2025-05-03,73.3,5
2025-05-17,12.6,1
2025-05-21,43.43333333333333,1
2025-06-03,105.96666666666667,2
2025-06-09,102.65,2
2025-06-10,55.233333333333334,1
2025-06-11,52.68333333333333,1
2025-06-17,154.7,3
2025-08-03,101.86666666666666,3
2025-08-04,47.11666666666667,3
2025-08-05,46.983333333333334,1
2025-08-06,44.35,1
2025-08-12,14.8,3
2025-08-13,193.26666666666665,5
2025-08-14,161.28333333333333,7
2025-08-15,39.483333333333334,2
2025-08-17,246.3,9
2025-08-18,220.35,14
2025-08-19,201.05,12
2025-08-20,288.81666666666666,16
2025-08-21,478.2,13
2025-08-24,13.45,2
2025-08-25,145.0,2
2025-08-27,12.516666666666667,2
2025-08-29,28.05,1
2025-09-16,300.81666666666666,15
2025-09-19,37.13333333333333,1
2025-09-21,86.93333333333334,2
2025-10-10,3.65,1
2025-10-23,92.7,1
2025-10-25,1.35,1
2025-10-29,85.13333333333334,1
2025-11-09,63.9,3
2025-11-10,130.95,4
2025-11-11,172.71666666666667,2
2025-11-23,154.73333333333335,4
2025-11-24,128.31666666666666,6
2025-11-25,307.2,16
2025-11-26,527.5166666666667,19
2025-11-27,133.01666666666665,4
2025-11-28,352.95,12
2025-11-29,263.2,10
2025-11-30,56.833333333333336,2
2025-12-01,463.4,15
2025-12-02,45.983333333333334,3
2025-12-03,284.2166666666667,10
2025-12-04,472.45,17
2025-12-05,314.81666666666666,11
2025-12-06,1019.1666666666667,28
2025-12-07,291.8666666666667,13
2025-12-08,272.1333333333333,12
2025-12-09,424.0333333333333,14
2025-12-10,359.6333333333333,16
2026-01-12,251.23333333333335,5
2026-01-13,89.26666666666667,3
2026-01-14,152.73333333333335,5
2026-01-17,89.88333333333334,1
2026-01-20,169.2,2
2026-02-02,192.66666666666666,9
2026-02-03,38.266666666666666,2
2026-02-04,154.35,3
2026-02-05,25.45,1
2026-02-12,156.43333333333334,3
2026-02-13,325.43333333333334,12
2026-02-17,46.083333333333336,1
